ID,HinhAnh,HangXe,DongXe,NamSX,XuatXu,KieuDang,SoKm,NgoaiThat,NoiThat,NhienLieu,DongCo,HopSo,DanDong,Gia
1,https://s.bonbanh.com/uploads/users/427917/car/4368671/m_1651824601.694.jpg,Hyundai,SantaFe,2015,Lắp ráp trong nước,SUV,75000,Đen,Đen,Xăng,2.4,Số tự động,4WD - Dẫn động 4 bánh,735000000
2,https://s.bonbanh.com/uploads/users/629263/car/4392442/m_1653017647.192.jpg,Honda,City,2018,Lắp ráp trong nước,Sedan,134000,Trắng,Đen,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,475000000
3,https://s.bonbanh.com/uploads/users/104296/car/4528918/m_1660189603.809.jpg,Hyundai,Kona,2021,Lắp ráp trong nước,Crossover,28000,Trắng,Ghi,Xăng,2,Số tự động,FWD - Dẫn động cầu trước,620000000
4,https://s.bonbanh.com/uploads/users/577335/car/4455451/m_1656303137.341.jpg,Ford,Ranger,2016,Nhập khẩu,Bán tải / Pickup,90000,Cam,Đen,Dầu,3.2,Số tự động,4WD - Dẫn động 4 bánh,715000000
5,https://s.bonbanh.com/uploads/users/629263/car/4548263/m_1661237842.405.jpg,Ford,Ranger,2018,Nhập khẩu,Bán tải / Pickup,124000,Đồng,Đen,Dầu,2.2,Số tay,RFD - Dẫn động cầu sau,555000000
6,https://s.bonbanh.com/uploads/users/154454/car/4405928/m_1653710601.366.jpeg,Mercedes Benz,E class,2017,Lắp ráp trong nước,Sedan,30000,Trắng,Nâu,Xăng,2,Số tự động,RFD - Dẫn động cầu sau,1499000000
7,https://s.bonbanh.com/uploads/users/577335/car/4552722/m_1661482254.337.jpg,Toyota,Camry,2007,Nhập khẩu,Sedan,150000,Đen,Kem,Xăng,2.4,Số tự động,FWD - Dẫn động cầu trước,388000000
8,https://s.bonbanh.com/uploads/users/125479/car/4559323/m_1661837768.591.jpeg,Hyundai,Tucson,2021,Lắp ráp trong nước,Crossover,17000,Trắng,Kem,Xăng,2,Số tự động,FWD - Dẫn động cầu trước,800000000
9,https://s.bonbanh.com/uploads/users/659379/car/4561209/m_1661930342.815.jpg,Honda,City,2018,Lắp ráp trong nước,Sedan,56000,Trắng,Kem,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,475000000
10,https://s.bonbanh.com/uploads/users/594173/car/4570743/m_1662478501.111.jpeg,Mazda,CX5,2020,Lắp ráp trong nước,SUV,36000,Đỏ,Đen,Xăng,2,Số tự động,FWD - Dẫn động cầu trước,890000000
